Bolge,Ulke_Sehir,Cinsiyet,Kanser_Turu,Yas_Grubu,Yillik_Vaka_Hizi_100Bin,Yillik_Olum_Hizi_100Bin,Bes_Yillik_Sagkalim_Yuzdesi
Turkiye,Adiyaman,Erkek,Diger,30-49,2.8,0.6,67.6
Turkiye,Adiyaman,Erkek,Diger,50-69,15.6,4.9,66.3
Turkiye,Adiyaman,Erkek,Diger,70+,21.8,8.7,51.5
Turkiye,Adiyaman,Kadin,Akciger,30-49,2.2,1.2,21.0
Turkiye,Adiyaman,Kadin,Akciger,50-69,14.2,9.5,15.3
Turkiye,Adiyaman,Kadin,Akciger,70+,20.2,17.1,5.0
Turkiye,Adiyaman,Kadin,Meme,30-49,48.2,6.8,86.6
Turkiye,Adiyaman,Kadin,Meme,50-69,120.2,26.1,87.9
Turkiye,Adiyaman,Kadin,Meme,70+,143.3,38.8,74.9
Turkiye,Adiyaman,Kadin,Kolorektal,30-49,12.7,4.0,70.4
Turkiye,Adiyaman,Kadin,Kolorektal,50-69,27.2,12.0,60.7
Turkiye,Adiyaman,Kadin,Kolorektal,70+,100.2,54.6,48.4
Turkiye,Adiyaman,Kadin,Tiroid,30-49,35.7,0.6,97.3
Turkiye,Adiyaman,Kadin,Tiroid,50-69,38.2,0.7,94.8
Turkiye,Adiyaman,Kadin,Tiroid,70+,56.1,0.9,85.4
Turkiye,Adiyaman,Kadin,Mide,30-49,2.3,1.1,25.6
Turkiye,Adiyaman,Kadin,Mide,50-69,10.8,9.5,21.7
Turkiye,Adiyaman,Kadin,Mide,70+,16.4,15.8,9.8
Turkiye,Adiyaman,Kadin,Mesane,30-49,1.3,0.3,71.9
Turkiye,Adiyaman,Kadin,Mesane,50-69,6.1,2.1,72.5
Turkiye,Adiyaman,Kadin,Mesane,70+,7.9,3.8,59.9
Turkiye,Adiyaman,Kadin,Diger,30-49,2.9,0.5,68.9
Turkiye,Adiyaman,Kadin,Diger,50-69,14.4,4.7,68.2
Turkiye,Adiyaman,Kadin,Diger,70+,21.7,7.9,54.7
Turkiye,Afyonkarahisar,Erkek,Akciger,30-49,13.1,6.8,16.8
Turkiye,Afyonkarahisar,Erkek,Akciger,50-69,59.6,57.3,13.7
Turkiye,Afyonkarahisar,Erkek,Akciger,70+,89.9,71.9,5.0
Turkiye,Afyonkarahisar,Erkek,Prostat,30-49,26.0,3.4,89.7
Turkiye,Afyonkarahisar,Erkek,Prostat,50-69,31.4,5.4,89.9
Turkiye,Afyonkarahisar,Erkek,Prostat,70+,179.8,64.2,75.2
Turkiye,Afyonkarahisar,Erkek,Kolorektal,30-49,13.7,3.4,65.6
Turkiye,Afyonkarahisar,Erkek,Kolorektal,50-69,26.0,10.1,59.8
Turkiye,Afyonkarahisar,Erkek,Kolorektal,70+,96.7,53.3,47.1
Turkiye,Afyonkarahisar,Erkek,Tiroid,30-49,8.7,0.6,99.4
Turkiye,Afyonkarahisar,Erkek,Tiroid,50-69,10.1,0.5,99.5
Turkiye,Afyonkarahisar,Erkek,Tiroid,70+,10.6,1.0,87.3
Turkiye,Afyonkarahisar,Erkek,Mide,30-49,3.5,1.7,27.1
Turkiye,Afyonkarahisar,Erkek,Mide,50-69,18.3,14.3,24.5
Turkiye,Afyonkarahisar,Erkek,Mide,70+,27.4,24.8,12.6
Turkiye,Afyonkarahisar,Erkek,Mesane,30-49,5.7,1.2,76.6
Turkiye,Afyonkarahisar,Erkek,Mesane,50-69,28.9,8.6,72.3
Turkiye,Afyonkarahisar,Erkek,Mesane,70+,45.5,15.7,59.2
Turkiye,Afyonkarahisar,Erkek,Diger,30-49,3.0,0.6,70.5
Turkiye,Afyonkarahisar,Erkek,Diger,50-69,14.8,4.9,67.0
Turkiye,Afyonkarahisar,Erkek,Diger,70+,22.4,9.3,55.3
Turkiye,Afyonkarahisar,Kadin,Akciger,30-49,2.5,1.3,18.9
Turkiye,Afyonkarahisar,Kadin,Akciger,50-69,14.4,10.4,15.2
Turkiye,Afyonkarahisar,Kadin,Akciger,70+,20.5,17.2,6.8
Turkiye,Afyonkarahisar,Kadin,Meme,30-49,44.1,6.8,88.1
Turkiye,Afyonkarahisar,Kadin,Meme,50-69,122.3,25.2,87.1
Turkiye,Afyonkarahisar,Kadin,Meme,70+,160.8,39.0,74.1
Turkiye,Afyonkarahisar,Kadin,Kolorektal,30-49,11.6,4.1,63.2
Turkiye,Afyonkarahisar,Kadin,Kolorektal,50-69,24.3,10.7,59.7
Turkiye,Afyonkarahisar,Kadin,Kolorektal,70+,90.9,52.3,47.4
Turkiye,Afyonkarahisar,Kadin,Tiroid,30-49,38.7,0.6,97.4
Turkiye,Afyonkarahisar,Kadin,Tiroid,50-69,38.7,0.5,95.7
Turkiye,Afyonkarahisar,Kadin,Tiroid,70+,50.1,1.0,86.8
Turkiye,Afyonkarahisar,Kadin,Mide,30-49,2.3,1.2,27.2
Turkiye,Afyonkarahisar,Kadin,Mide,50-69,11.5,8.3,23.0
Turkiye,Afyonkarahisar,Kadin,Mide,70+,15.7,12.6,9.5
Turkiye,Afyonkarahisar,Kadin,Mesane,30-49,1.1,0.3,75.3
Turkiye,Afyonkarahisar,Kadin,Mesane,50-69,6.2,2.3,70.3
Turkiye,Afyonkarahisar,Kadin,Mesane,70+,8.6,3.9,59.2
Turkiye,Afyonkarahisar,Kadin,Diger,30-49,2.5,0.6,70.4
Turkiye,Afyonkarahisar,Kadin,Diger,50-69,16.7,5.4,68.9
Turkiye,Afyonkarahisar,Kadin,Diger,70+,19.7,9.4,53.3
Turkiye,Agri,Erkek,Akciger,30-49,13.1,5.8,18.0
Turkiye,Agri,Erkek,Akciger,50-69,59.0,43.2,14.1
Turkiye,Agri,Erkek,Akciger,70+,81.5,65.2,5.0
Turkiye,Agri,Erkek,Prostat,30-49,30.0,4.9,90.5
Turkiye,Agri,Erkek,Prostat,50-69,29.7,6.2,84.6
Turkiye,Agri,Erkek,Prostat,70+,232.7,72.8,74.2
Turkiye,Agri,Erkek,Kolorektal,30-49,10.6,4.3,63.3
Turkiye,Agri,Erkek,Kolorektal,50-69,28.6,9.6,57.9
Turkiye,Agri,Erkek,Kolorektal,70+,95.2,56.2,46.2
Turkiye,Agri,Erkek,Tiroid,30-49,9.4,0.5,97.9
Turkiye,Agri,Erkek,Tiroid,50-69,9.1,0.6,99.5
Turkiye,Agri,Erkek,Tiroid,70+,11.5,0.9,88.5
Turkiye,Agri,Erkek,Mide,30-49,5.1,2.5,30.3
Turkiye,Agri,Erkek,Mide,50-69,27.8,23.8,23.1
Turkiye,Agri,Erkek,Mide,70+,44.9,43.4,10.6
Turkiye,Agri,Erkek,Mesane,30-49,6.0,1.1,78.0
Turkiye,Agri,Erkek,Mesane,50-69,28.6,9.5,72.9
Turkiye,Agri,Erkek,Mesane,70+,37.3,14.3,55.3
Turkiye,Agri,Erkek,Diger,30-49,2.6,0.6,72.2
Turkiye,Agri,Erkek,Diger,50-69,15.1,5.7,62.5
Turkiye,Agri,Erkek,Diger,70+,18.1,8.7,53.7
Turkiye,Agri,Kadin,Akciger,30-49,2.5,1.1,19.3
Turkiye,Agri,Kadin,Akciger,50-69,12.5,11.1,15.7
Turkiye,Agri,Kadin,Akciger,70+,18.1,17.6,5.0
Turkiye,Agri,Kadin,Meme,30-49,47.8,8.1,84.2
Turkiye,Agri,Kadin,Meme,50-69,119.6,23.0,84.6
Turkiye,Agri,Kadin,Meme,70+,159.6,38.5,73.0
Turkiye,Agri,Kadin,Kolorektal,30-49,11.1,4.4,63.6
Turkiye,Agri,Kadin,Kolorektal,50-69,24.5,11.2,58.8
Turkiye,Agri,Kadin,Kolorektal,70+,93.5,58.8,48.4
Turkiye,Agri,Kadin,Tiroid,30-49,36.4,0.6,97.7
Turkiye,Agri,Kadin,Tiroid,50-69,31.0,0.5,99.5
Turkiye,Agri,Kadin,Tiroid,70+,60.2,1.0,87.2
Turkiye,Agri,Kadin,Mide,30-49,3.1,2.0,29.5
Turkiye,Agri,Kadin,Mide,50-69,16.5,12.1,20.1
Turkiye,Agri,Kadin,Mide,70+,23.7,21.5,8.4
Turkiye,Agri,Kadin,Mesane,30-49,1.0,0.2,78.5
Turkiye,Agri,Kadin,Mesane,50-69,6.4,2.2,73.7
Turkiye,Agri,Kadin,Mesane,70+,8.5,3.6,61.7
Turkiye,Agri,Kadin,Diger,30-49,2.8,0.6,69.2
Turkiye,Agri,Kadin,Diger,50-69,13.9,4.4,66.7
Turkiye,Agri,Kadin,Diger,70+,24.2,7.8,54.0
Turkiye,Amasya,Erkek,Akciger,30-49,10.6,6.0,18.4
Turkiye,Amasya,Erkek,Akciger,50-69,57.7,52.2,13.5
Turkiye,Amasya,Erkek,Akciger,70+,88.7,71.0,5.0
Turkiye,Amasya,Erkek,Prostat,30-49,24.2,4.3,92.9
Turkiye,Amasya,Erkek,Prostat,50-69,33.3,5.5,87.2
Turkiye,Amasya,Erkek,Prostat,70+,215.2,57.6,76.0
Turkiye,Amasya,Erkek,Kolorektal,30-49,11.6,4.0,62.1
Turkiye,Amasya,Erkek,Kolorektal,50-69,22.2,9.6,59.1
Turkiye,Amasya,Erkek,Kolorektal,70+,97.2,51.9,48.1
Turkiye,Amasya,Erkek,Tiroid,30-49,7.8,0.6,96.0
Turkiye,Amasya,Erkek,Tiroid,50-69,8.5,0.6,96.7
Turkiye,Amasya,Erkek,Tiroid,70+,12.2,1.1,85.2
Turkiye,Amasya,Erkek,Mide,30-49,3.6,1.6,28.5
Turkiye,Amasya,Erkek,Mide,50-69,21.2,12.0,21.6
Turkiye,Amasya,Erkek,Mide,70+,27.8,25.8,11.7
Turkiye,Amasya,Erkek,Mesane,30-49,5.3,1.1,75.2
Turkiye,Amasya,Erkek,Mesane,50-69,33.9,9.2,71.6
Turkiye,Amasya,Erkek,Mesane,70+,42.0,15.1,58.2
Turkiye,Amasya,Erkek,Diger,30-49,2.8,0.6,70.0
Turkiye,Amasya,Erkek,Diger,50-69,17.5,5.3,64.4
Turkiye,Amasya,Erkek,Diger,70+,23.0,8.5,49.3
Turkiye,Amasya,Kadin,Akciger,30-49,2.3,1.1,18.9
Turkiye,Amasya,Kadin,Akciger,50-69,14.0,11.9,15.6
Turkiye,Amasya,Kadin,Akciger,70+,19.3,15.4,5.0
Turkiye,Amasya,Kadin,Meme,30-49,48.9,8.0,83.3
Turkiye,Amasya,Kadin,Meme,50-69,125.5,24.6,85.3
Turkiye,Amasya,Kadin,Meme,70+,169.2,49.6,74.3
Turkiye,Amasya,Kadin,Kolorektal,30-49,12.5,3.7,62.0
Turkiye,Amasya,Kadin,Kolorektal,50-69,27.7,10.2,59.1
Turkiye,Amasya,Kadin,Kolorektal,70+,91.6,58.1,47.6
Turkiye,Amasya,Kadin,Tiroid,30-49,41.2,0.6,97.7
Turkiye,Amasya,Kadin,Tiroid,50-69,35.0,0.6,98.9
Turkiye,Amasya,Kadin,Tiroid,70+,56.4,1.0,87.8
Turkiye,Amasya,Kadin,Mide,30-49,2.3,1.1,30.9
Turkiye,Amasya,Kadin,Mide,50-69,10.8,8.1,19.8
Turkiye,Amasya,Kadin,Mide,70+,18.0,16.6,10.9
Turkiye,Amasya,Kadin,Mesane,30-49,1.1,0.2,79.9
Turkiye,Amasya,Kadin,Mesane,50-69,6.1,2.2,72.3
Turkiye,Amasya,Kadin,Mesane,70+,8.7,3.9,57.6
Turkiye,Amasya,Kadin,Diger,30-49,2.8,0.7,71.9
Turkiye,Amasya,Kadin,Diger,50-69,16.9,4.8,63.2
Turkiye,Amasya,Kadin,Diger,70+,20.8,8.8,55.0
Turkiye,Ankara,Erkek,Akciger,30-49,9.6,7.0,19.2
Turkiye,Ankara,Erkek,Akciger,50-69,59.9,47.8,12.0
Turkiye,Ankara,Erkek,Akciger,70+,92.5,91.5,5.0
Turkiye,Ankara,Erkek,Prostat,30-49,23.4,4.4,94.5
Turkiye,Ankara,Erkek,Prostat,50-69,31.3,5.3,86.6
Turkiye,Ankara,Erkek,Prostat,70+,198.6,52.2,74.9
Turkiye,Ankara,Erkek,Kolorektal,30-49,12.0,4.1,66.8
Turkiye,Ankara,Erkek,Kolorektal,50-69,28.3,10.8,57.0
Turkiye,Ankara,Erkek,Kolorektal,70+,114.8,56.3,47.0
Turkiye,Ankara,Erkek,Tiroid,30-49,9.0,0.6,97.9
Turkiye,Ankara,Erkek,Tiroid,50-69,8.6,0.6,98.1
Turkiye,Ankara,Erkek,Tiroid,70+,12.1,1.0,86.4
Turkiye,Ankara,Erkek,Mide,30-49,3.4,2.0,22.7
Turkiye,Ankara,Erkek,Mide,50-69,20.7,16.5,19.3
Turkiye,Ankara,Erkek,Mide,70+,25.9,25.5,8.5
Turkiye,Ankara,Erkek,Mesane,30-49,5.2,1.0,78.7
Turkiye,Ankara,Erkek,Mesane,50-69,33.3,9.9,72.3
Turkiye,Ankara,Erkek,Mesane,70+,39.5,15.1,59.9
Turkiye,Ankara,Erkek,Diger,30-49,2.4,0.6,69.1
Turkiye,Ankara,Erkek,Diger,50-69,14.6,5.3,65.8
Turkiye,Ankara,Erkek,Diger,70+,20.4,9.6,51.1
Turkiye,Ankara,Kadin,Akciger,30-49,2.6,1.3,18.9
Turkiye,Ankara,Kadin,Akciger,50-69,14.4,9.4,16.7
Turkiye,Ankara,Kadin,Akciger,70+,19.3,17.6,5.0
Turkiye,Ankara,Kadin,Meme,30-49,45.3,6.7,83.2
Turkiye,Ankara,Kadin,Meme,50-69,120.6,21.5,89.2
Turkiye,Ankara,Kadin,Meme,70+,134.2,47.7,74.4
Turkiye,Ankara,Kadin,Kolorektal,30-49,12.1,3.7,64.2
Turkiye,Ankara,Kadin,Kolorektal,50-69,25.9,12.0,59.2
Turkiye,Ankara,Kadin,Kolorektal,70+,96.3,54.4,46.9
Turkiye,Ankara,Kadin,Tiroid,30-49,38.9,0.5,95.8
Turkiye,Ankara,Kadin,Tiroid,50-69,40.3,0.6,97.9
Turkiye,Ankara,Kadin,Tiroid,70+,53.3,1.1,85.2
Turkiye,Ankara,Kadin,Mide,30-49,1.9,1.1,25.7
Turkiye,Ankara,Kadin,Mide,50-69,11.9,7.8,24.9
Turkiye,Ankara,Kadin,Mide,70+,16.7,16.1,12.8
Turkiye,Ankara,Kadin,Mesane,30-49,1.2,0.3,72.2
Turkiye,Ankara,Kadin,Mesane,50-69,5.4,2.1,71.0
Turkiye,Ankara,Kadin,Mesane,70+,8.7,3.6,59.3
Turkiye,Ankara,Kadin,Diger,30-49,2.5,0.6,67.0
Turkiye,Ankara,Kadin,Diger,50-69,13.9,4.5,63.2
Turkiye,Ankara,Kadin,Diger,70+,22.8,8.1,57.7
Turkiye,Antalya,Erkek,Akciger,30-49,11.6,6.3,18.0
Turkiye,Antalya,Erkek,Akciger,50-69,65.5,49.6,15.2
Turkiye,Antalya,Erkek,Akciger,70+,104.6,90.3,5.1
Turkiye,Antalya,Erkek,Prostat,30-49,24.6,4.5,94.7
Turkiye,Antalya,Erkek,Prostat,50-69,30.4,6.9,88.3
Turkiye,Antalya,Erkek,Prostat,70+,193.9,69.9,76.8
Turkiye,Antalya,Erkek,Kolorektal,30-49,12.8,3.4,62.2
Turkiye,Antalya,Erkek,Kolorektal,50-69,25.5,10.9,60.1
Turkiye,Antalya,Erkek,Kolorektal,70+,96.6,50.0,47.7
Turkiye,Antalya,Erkek,Tiroid,30-49,11.3,0.6,99.5
Turkiye,Antalya,Erkek,Tiroid,50-69,11.5,0.6,98.1
Turkiye,Antalya,Erkek,Tiroid,70+,13.1,1.1,86.6
Turkiye,Antalya,Erkek,Mide,30-49,3.5,1.6,25.6
Turkiye,Antalya,Erkek,Mide,50-69,20.6,15.0,24.2
Turkiye,Antalya,Erkek,Mide,70+,26.7,26.3,12.7
Turkiye,Antalya,Erkek,Mesane,30-49,5.3,1.1,74.7
Turkiye,Antalya,Erkek,Mesane,50-69,29.9,8.8,71.4
Turkiye,Antalya,Erkek,Mesane,70+,41.7,17.3,57.4
Turkiye,Antalya,Erkek,Diger,30-49,2.7,0.6,72.1
Turkiye,Antalya,Erkek,Diger,50-69,15.2,5.4,62.3
Turkiye,Antalya,Erkek,Diger,70+,21.4,9.4,53.1
Turkiye,Antalya,Kadin,Akciger,30-49,2.7,1.2,22.0
Turkiye,Antalya,Kadin,Akciger,50-69,16.6,10.2,14.2
Turkiye,Antalya,Kadin,Akciger,70+,21.9,20.7,5.0
Turkiye,Antalya,Kadin,Meme,30-49,46.4,7.3,83.6
Turkiye,Antalya,Kadin,Meme,50-69,106.5,22.1,84.6
Turkiye,Antalya,Kadin,Meme,70+,160.6,42.8,76.8
Turkiye,Antalya,Kadin,Kolorektal,30-49,11.3,4.1,63.1
Turkiye,Antalya,Kadin,Kolorektal,50-69,25.9,11.6,57.0
Turkiye,Antalya,Kadin,Kolorektal,70+,98.1,56.7,47.9
Turkiye,Antalya,Kadin,Tiroid,30-49,46.7,0.7,97.1
Turkiye,Antalya,Kadin,Tiroid,50-69,43.7,0.6,97.2
Turkiye,Antalya,Kadin,Tiroid,70+,60.6,1.1,88.8
Turkiye,Antalya,Kadin,Mide,30-49,2.0,1.0,28.3
Turkiye,Antalya,Kadin,Mide,50-69,11.0,9.5,23.4
Turkiye,Antalya,Kadin,Mide,70+,14.1,11.3,14.2
Turkiye,Antalya,Kadin,Mesane,30-49,1.0,0.3,76.0
Turkiye,Antalya,Kadin,Mesane,50-69,6.2,2.3,74.6
Turkiye,Antalya,Kadin,Mesane,70+,8.3,3.6,56.5
Turkiye,Antalya,Kadin,Diger,30-49,2.5,0.6,72.7
Turkiye,Antalya,Kadin,Diger,50-69,14.4,5.1,65.0
Turkiye,Antalya,Kadin,Diger,70+,23.0,10.5,52.0
Turkiye,Artvin,Erkek,Akciger,30-49,13.4,8.5,20.7
Turkiye,Artvin,Erkek,Akciger,50-69,88.9,68.0,14.4
Turkiye,Artvin,Erkek,Akciger,70+,113.6,90.9,5.0
Turkiye,Artvin,Erkek,Prostat,30-49,27.2,4.9,93.6
Turkiye,Artvin,Erkek,Prostat,50-69,35.5,6.3,86.7
Turkiye,Artvin,Erkek,Prostat,70+,205.4,72.9,73.5
Turkiye,Artvin,Erkek,Kolorektal,30-49,12.6,3.7,63.6
Turkiye,Artvin,Erkek,Kolorektal,50-69,28.7,11.2,59.1
Turkiye,Artvin,Erkek,Kolorektal,70+,84.8,59.3,48.2
Turkiye,Artvin,Erkek,Tiroid,30-49,10.6,0.6,98.6
Turkiye,Artvin,Erkek,Tiroid,50-69,9.2,0.7,98.0
Turkiye,Artvin,Erkek,Tiroid,70+,12.9,1.1,86.5
Turkiye,Artvin,Erkek,Mide,30-49,3.3,1.8,29.4
Turkiye,Artvin,Erkek,Mide,50-69,17.4,15.2,21.7
Turkiye,Artvin,Erkek,Mide,70+,29.1,23.1,10.0
Turkiye,Artvin,Erkek,Mesane,30-49,5.7,1.2,75.4
Turkiye,Artvin,Erkek,Mesane,50-69,29.6,10.4,68.4
Turkiye,Artvin,Erkek,Mesane,70+,35.8,16.3,58.1
Turkiye,Artvin,Erkek,Diger,30-49,2.5,0.6,69.9
Turkiye,Artvin,Erkek,Diger,50-69,14.3,4.5,66.6
Turkiye,Artvin,Erkek,Diger,70+,22.1,8.7,56.3
Turkiye,Artvin,Kadin,Akciger,30-49,2.9,1.4,18.3
Turkiye,Artvin,Kadin,Akciger,50-69,17.4,13.4,14.6
Turkiye,Artvin,Kadin,Akciger,70+,25.2,20.7,5.6
Turkiye,Artvin,Kadin,Meme,30-49,47.7,8.2,86.6
Turkiye,Artvin,Kadin,Meme,50-69,119.2,25.1,86.8
Turkiye,Artvin,Kadin,Meme,70+,169.3,46.5,74.4
Turkiye,Artvin,Kadin,Kolorektal,30-49,12.9,3.8,66.1
Turkiye,Artvin,Kadin,Kolorektal,50-69,24.6,12.6,58.9
Turkiye,Artvin,Kadin,Kolorektal,70+,84.3,56.6,45.8
Turkiye,Artvin,Kadin,Tiroid,30-49,40.6,0.6,97.4
Turkiye,Artvin,Kadin,Tiroid,50-69,32.3,0.6,93.8
Turkiye,Artvin,Kadin,Tiroid,70+,46.5,1.1,87.6
Turkiye,Artvin,Kadin,Mide,30-49,2.1,1.0,27.4
Turkiye,Artvin,Kadin,Mide,50-69,11.5,8.2,25.7
Turkiye,Artvin,Kadin,Mide,70+,17.2,15.5,11.0
Turkiye,Artvin,Kadin,Mesane,30-49,1.1,0.2,75.1
Turkiye,Artvin,Kadin,Mesane,50-69,5.7,2.0,70.5
Turkiye,Artvin,Kadin,Mesane,70+,9.6,4.0,58.0
Turkiye,Artvin,Kadin,Diger,30-49,2.8,0.7,71.2
Turkiye,Artvin,Kadin,Diger,50-69,15.1,4.7,66.3
Turkiye,Artvin,Kadin,Diger,70+,21.7,9.4,54.1
Turkiye,Aydin,Erkek,Akciger,30-49,12.1,6.0,21.9
Turkiye,Aydin,Erkek,Akciger,50-69,63.0,60.6,13.8
Turkiye,Aydin,Erkek,Akciger,70+,98.9,92.4,5.0
Turkiye,Aydin,Erkek,Prostat,30-49,25.1,4.4,92.3
Turkiye,Aydin,Erkek,Prostat,50-69,33.3,5.7,87.0
Turkiye,Aydin,Erkek,Prostat,70+,237.8,75.7,75.8
Turkiye,Aydin,Erkek,Kolorektal,30-49,12.3,3.9,64.6
Turkiye,Aydin,Erkek,Kolorektal,50-69,23.9,10.8,56.0
Turkiye,Aydin,Erkek,Kolorektal,70+,98.2,58.9,46.1
Turkiye,Aydin,Erkek,Tiroid,30-49,12.2,0.5,95.6
Turkiye,Aydin,Erkek,Tiroid,50-69,11.0,0.7,99.5
Turkiye,Aydin,Erkek,Tiroid,70+,14.6,1.1,86.1
Turkiye,Aydin,Erkek,Mide,30-49,3.4,1.9,28.7
Turkiye,Aydin,Erkek,Mide,50-69,16.6,13.3,25.5
Turkiye,Aydin,Erkek,Mide,70+,25.3,20.2,11.9
Turkiye,Aydin,Erkek,Mesane,30-49,5.7,1.0,74.3
Turkiye,Aydin,Erkek,Mesane,50-69,30.9,9.8,72.0
Turkiye,Aydin,Erkek,Mesane,70+,42.1,16.7,53.9
Turkiye,Aydin,Erkek,Diger,30-49,2.9,0.5,68.8
Turkiye,Aydin,Erkek,Diger,50-69,13.7,4.5,67.1
Turkiye,Aydin,Erkek,Diger,70+,20.2,9.0,52.9
Turkiye,Aydin,Kadin,Akciger,30-49,2.6,1.3,17.2
Turkiye,Aydin,Kadin,Akciger,50-69,15.1,10.1,12.2
Turkiye,Aydin,Kadin,Akciger,70+,18.9,15.1,5.0
Turkiye,Aydin,Kadin,Meme,30-49,46.7,7.3,85.4
Turkiye,Aydin,Kadin,Meme,50-69,134.1,24.7,86.8
Turkiye,Aydin,Kadin,Meme,70+,174.3,42.8,73.5
Turkiye,Aydin,Kadin,Kolorektal,30-49,12.0,3.8,63.4
Turkiye,Aydin,Kadin,Kolorektal,50-69,27.5,11.0,60.3
Turkiye,Aydin,Kadin,Kolorektal,70+,94.6,56.4,43.4
Turkiye,Aydin,Kadin,Tiroid,30-49,48.9,0.6,99.5
Turkiye,Aydin,Kadin,Tiroid,50-69,35.0,0.7,97.9
Turkiye,Aydin,Kadin,Tiroid,70+,69.5,1.0,87.3
